E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.9375,3.83E-06,3.39E-06,3.26E-06,3.16E-06,3.1E-06,3.06E-06
0.9423828,3.8E-06,3.36E-06,3.23E-06,3.14E-06,3.08E-06,3.04E-06
0.9472656,3.77E-06,3.34E-06,3.2E-06,3.11E-06,3.06E-06,3.02E-06
0.9521484,3.74E-06,3.32E-06,3.18E-06,3.09E-06,3.04E-06,3.01E-06
0.9570313,3.71E-06,3.29E-06,3.16E-06,3.07E-06,3.02E-06,3E-06
0.9619141,3.69E-06,3.28E-06,3.14E-06,3.06E-06,3.01E-06,2.99E-06
0.9667969,3.66E-06,3.26E-06,3.13E-06,3.05E-06,3E-06,2.99E-06
0.9716797,3.64E-06,3.25E-06,3.11E-06,3.04E-06,3E-06,2.99E-06
0.9765625,3.62E-06,3.23E-06,3.1E-06,3.03E-06,2.99E-06,2.99E-06
0.9814453,3.6E-06,3.22E-06,3.1E-06,3.03E-06,2.99E-06,2.99E-06
0.9863281,3.58E-06,3.22E-06,3.09E-06,3.03E-06,3E-06,3E-06
0.9912109,3.57E-06,3.21E-06,3.09E-06,3.03E-06,3E-06,3.01E-06
0.9960938,3.56E-06,3.21E-06,3.09E-06,3.03E-06,3.01E-06,3.02E-06
1.000977,3.55E-06,3.21E-06,3.09E-06,3.04E-06,3.02E-06,3.04E-06
1.005859,3.54E-06,3.21E-06,3.09E-06,3.04E-06,3.03E-06,3.06E-06
1.010742,3.53E-06,3.21E-06,3.1E-06,3.05E-06,3.05E-06,3.08E-06
1.015625,3.52E-06,3.22E-06,3.11E-06,3.07E-06,3.06E-06,3.1E-06
1.020508,3.52E-06,3.22E-06,3.12E-06,3.08E-06,3.08E-06,3.12E-06
1.025391,3.51E-06,3.23E-06,3.13E-06,3.1E-06,3.1E-06,3.15E-06
1.030273,3.51E-06,3.24E-06,3.14E-06,3.12E-06,3.13E-06,3.18E-06
1.035156,3.51E-06,3.25E-06,3.16E-06,3.14E-06,3.15E-06,3.21E-06
1.040039,3.51E-06,3.27E-06,3.17E-06,3.16E-06,3.18E-06,3.24E-06
