E (V),Av. I2 0uL,Av. I2 10uL,Av. I2 20uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.7177734,2.65E-06,3.79E-06,3.98E-06,4.04E-06,4.05E-06,3.988037E-06,4.0010075E-06,4.023895E-06
0.7226563,2.82E-06,3.84E-06,4.01E-06,4.07E-06,4.08E-06,4.0013125E-06,4.0090945E-06,4.0267945E-06
0.7275391,3.01E-06,3.89E-06,4.03E-06,4.11E-06,4.1E-06,4.012451E-06,4.015503E-06,4.0292355E-06
0.7324219,3.21E-06,3.94E-06,4.05E-06,4.14E-06,4.13E-06,4.019928E-06,4.0188595E-06,4.0272525E-06
0.7373047,3.43E-06,3.98E-06,4.06E-06,4.16E-06,4.14E-06,4.0220645E-06,4.017029E-06,4.020996E-06
0.7421875,3.66E-06,4.01E-06,4.07E-06,4.18E-06,4.15E-06,4.0208435E-06,4.0097045E-06,4.0104675E-06
0.7470703,3.91E-06,4.04E-06,4.07E-06,4.2E-06,4.16E-06,4.0133665E-06,3.999176E-06,3.995056E-06
0.7519531,4.17E-06,4.07E-06,4.07E-06,4.2E-06,4.15E-06,4.000244E-06,3.9816285E-06,3.973846E-06
0.7568359,4.44E-06,4.08E-06,4.06E-06,4.21E-06,4.14E-06,3.983459E-06,3.9608765E-06,3.948822E-06
0.7617188,4.73E-06,4.09E-06,4.05E-06,4.2E-06,4.13E-06,3.9608765E-06,3.9338685E-06,3.91922E-06
0.7666016,5.03E-06,4.1E-06,4.03E-06,4.19E-06,4.11E-06,3.935547E-06,3.9048765E-06,3.8870235E-06
0.7714844,5.32E-06,4.1E-06,4.01E-06,4.17E-06,4.08E-06,3.905945E-06,3.8720705E-06,3.8505555E-06
0.7763672,5.61E-06,4.09E-06,3.99E-06,4.15E-06,4.05E-06,3.873749E-06,3.8354495E-06,3.81073E-06
0.78125,5.89E-06,4.08E-06,3.95E-06,4.12E-06,4.01E-06,3.8375855E-06,3.7968445E-06,3.768768E-06
0.7861328,6.17E-06,4.06E-06,3.92E-06,4.09E-06,3.98E-06,3.7983705E-06,3.7547305E-06,3.72406E-06
0.7910156,6.42E-06,4.03E-06,3.87E-06,4.05E-06,3.93E-06,3.755493E-06,3.7101745E-06,3.6763E-06
0.7958984,6.66E-06,3.99E-06,3.83E-06,4.01E-06,3.89E-06,3.71109E-06,3.6625675E-06,3.627167E-06
0.8007813,6.87E-06,3.95E-06,3.78E-06,3.97E-06,3.84E-06,3.6637875E-06,3.6137395E-06,3.5757445E-06
0.8056641,7.05E-06,3.91E-06,3.72E-06,3.92E-06,3.79E-06,3.616028E-06,3.56369E-06,3.524017E-06
0.8105469,7.19E-06,3.86E-06,3.67E-06,3.88E-06,3.74E-06,3.566742E-06,3.5127255E-06,3.4709165E-06
0.8154297,7.3E-06,3.81E-06,3.62E-06,3.82E-06,3.68E-06,3.5169985E-06,3.4609985E-06,3.4191895E-06
0.8203125,7.37E-06,3.76E-06,3.56E-06,3.77E-06,3.63E-06,3.466492E-06,3.4101865E-06,3.3662415E-06
0.8251953,7.41E-06,3.71E-06,3.51E-06,3.72E-06,3.58E-06,3.4169005E-06,3.35968E-06,3.315277E-06
0.8300781,7.4E-06,3.66E-06,3.46E-06,3.67E-06,3.52E-06,3.3679195E-06,3.3096315E-06,3.264618E-06
0.8349609,7.35E-06,3.61E-06,3.41E-06,3.61E-06,3.47E-06,3.319855E-06,3.2620235E-06,3.2159425E-06
0.8398438,7.28E-06,3.56E-06,3.37E-06,3.56E-06,3.42E-06,3.273468E-06,3.215027E-06,3.1689455E-06
0.8447266,7.16E-06,3.51E-06,3.32E-06,3.51E-06,3.36E-06,3.2289125E-06,3.170776E-06,3.125305E-06
0.8496094,7.03E-06,3.47E-06,3.28E-06,3.46E-06,3.31E-06,3.1866455E-06,3.1288145E-06,3.083191E-06
0.8544922,6.86E-06,3.42E-06,3.24E-06,3.4E-06,3.26E-06,3.1460575E-06,3.088684E-06,3.0439755E-06
0.859375,6.68E-06,3.38E-06,3.2E-06,3.36E-06,3.21E-06,3.1069945E-06,3.050537E-06,3.007202E-06
0.8642578,6.48E-06,3.34E-06,3.17E-06,3.31E-06,3.17E-06,3.0711365E-06,3.016205E-06,2.972717E-06
0.8691406,6.27E-06,3.3E-06,3.14E-06,3.26E-06,3.12E-06,3.037262E-06,2.9833985E-06,2.941437E-06
0.8740234,6.06E-06,3.26E-06,3.11E-06,3.22E-06,3.08E-06,3.0059815E-06,2.9533385E-06,2.9138185E-06
0.8789063,5.85E-06,3.23E-06,3.08E-06,3.17E-06,3.03E-06,2.976837E-06,2.9263305E-06,2.889099E-06
0.8837891,5.64E-06,3.2E-06,3.05E-06,3.13E-06,3E-06,2.9507445E-06,2.903137E-06,2.8678895E-06
0.8886719,5.44E-06,3.17E-06,3.03E-06,3.1E-06,2.96E-06,2.927551E-06,2.88208E-06,2.8492735E-06
0.8935547,5.24E-06,3.14E-06,3.01E-06,3.06E-06,2.93E-06,2.906952E-06,2.86438E-06,2.8341675E-06
0.8984375,5.06E-06,3.12E-06,2.99E-06,3.02E-06,2.89E-06,2.8894045E-06,2.8494265E-06,2.822571E-06
0.9033203,4.89E-06,3.1E-06,2.98E-06,2.99E-06,2.86E-06,2.87384E-06,2.837372E-06,2.814179E-06
0.9082031,4.73E-06,3.07E-06,2.96E-06,2.96E-06,2.84E-06,2.86026E-06,2.828369E-06,2.8085325E-06
0.9130859,4.58E-06,3.06E-06,2.95E-06,2.93E-06,2.81E-06,2.8504945E-06,2.822113E-06,2.8063965E-06
0.9179688,4.45E-06,3.04E-06,2.94E-06,2.91E-06,2.79E-06,2.845154E-06,2.8215025E-06,2.809906E-06
0.9228516,4.32E-06,3.03E-06,2.94E-06,2.88E-06,2.77E-06,2.839966E-06,2.8207395E-06,2.815399E-06
0.9277344,4.22E-06,3.01E-06,2.93E-06,2.86E-06,2.75E-06,2.837982E-06,2.8248595E-06,2.8233335E-06
0.9326172,4.11E-06,3E-06,2.93E-06,2.84E-06,2.74E-06,2.8387455E-06,2.830658E-06,2.835388E-06
0.9375,4.02E-06,2.99E-06,2.93E-06,2.82E-06,2.72E-06,2.8419495E-06,2.8398135E-06,2.849884E-06
0.9423828,3.94E-06,2.99E-06,2.93E-06,2.81E-06,2.71E-06,2.8489685E-06,2.8523255E-06,2.8694155E-06
0.9472656,3.86E-06,2.98E-06,2.93E-06,2.79E-06,2.7E-06,2.8578185E-06,2.868347E-06,2.891693E-06
0.9521484,3.79E-06,2.98E-06,2.94E-06,2.78E-06,2.69E-06,2.8697205E-06,2.8869625E-06,2.9177855E-06
0.9570313,3.73E-06,2.98E-06,2.94E-06,2.77E-06,2.69E-06,2.8842165E-06,2.9096985E-06,2.947388E-06
0.9619141,3.68E-06,2.97E-06,2.95E-06,2.76E-06,2.68E-06,2.9026795E-06,2.935028E-06,2.9812625E-06
0.9667969,3.63E-06,2.97E-06,2.96E-06,2.75E-06,2.68E-06,2.9234315E-06,2.96463E-06,3.0181885E-06
0.9716797,3.59E-06,2.98E-06,2.97E-06,2.75E-06,2.69E-06,2.9481505E-06,2.9966735E-06,3.0589295E-06
0.9765625,3.55E-06,2.98E-06,2.99E-06,2.75E-06,2.69E-06,2.9753115E-06,3.0326845E-06,3.1034855E-06
0.9814453,3.52E-06,2.99E-06,3E-06,2.75E-06,2.7E-06,3.005371E-06,3.071747E-06,3.1506345E-06
0.9863281,3.49E-06,2.99E-06,3.02E-06,2.75E-06,2.71E-06,3.0383305E-06,3.113556E-06,3.2019045E-06
0.9912109,3.47E-06,3E-06,3.04E-06,2.76E-06,2.72E-06,3.073883E-06,3.1581115E-06,3.255768E-06
