E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.9960938,3.14E-06,2.79E-06,2.75E-06,2.65E-06,2.63E-06,2.66E-06
1.000977,3.14E-06,2.8E-06,2.76E-06,2.67E-06,2.66E-06,2.7E-06
1.005859,3.13E-06,2.81E-06,2.77E-06,2.69E-06,2.69E-06,2.74E-06
1.010742,3.13E-06,2.82E-06,2.78E-06,2.71E-06,2.72E-06,2.78E-06
1.015625,3.12E-06,2.83E-06,2.8E-06,2.74E-06,2.75E-06,2.82E-06
1.020508,3.12E-06,2.84E-06,2.81E-06,2.76E-06,2.79E-06,2.86E-06
1.025391,3.12E-06,2.86E-06,2.83E-06,2.79E-06,2.83E-06,2.91E-06
1.030273,3.12E-06,2.88E-06,2.85E-06,2.82E-06,2.86E-06,2.95E-06
1.035156,3.13E-06,2.89E-06,2.87E-06,2.85E-06,2.9E-06,3E-06
1.040039,3.13E-06,2.91E-06,2.9E-06,2.88E-06,2.94E-06,3.05E-06
1.044922,3.14E-06,2.94E-06,2.92E-06,2.92E-06,2.99E-06,3.1E-06
1.049805,3.15E-06,2.96E-06,2.95E-06,2.95E-06,3.03E-06,3.15E-06
1.054688,3.16E-06,2.98E-06,2.98E-06,2.99E-06,3.07E-06,3.2E-06
1.05957,3.17E-06,3.01E-06,3.01E-06,3.03E-06,3.12E-06,3.25E-06
1.064453,3.18E-06,3.04E-06,3.04E-06,3.07E-06,3.16E-06,3.3E-06
1.069336,3.19E-06,3.07E-06,3.07E-06,3.1E-06,3.21E-06,3.35E-06
1.074219,3.21E-06,3.1E-06,3.1E-06,3.15E-06,3.26E-06,3.4E-06
1.079102,3.23E-06,3.13E-06,3.14E-06,3.19E-06,3.3E-06,3.45E-06
1.083984,3.25E-06,3.16E-06,3.17E-06,3.23E-06,3.35E-06,3.51E-06
1.088867,3.27E-06,3.2E-06,3.21E-06,3.27E-06,3.4E-06,3.56E-06
1.09375,3.29E-06,3.24E-06,3.25E-06,3.32E-06,3.45E-06,3.62E-06
1.098633,3.32E-06,3.28E-06,3.3E-06,3.37E-06,3.51E-06,3.68E-06
1.103516,3.35E-06,3.32E-06,3.34E-06,3.42E-06,3.56E-06,3.74E-06
1.108398,3.38E-06,3.36E-06,3.38E-06,3.47E-06,3.62E-06,3.8E-06
1.113281,3.41E-06,3.4E-06,3.43E-06,3.52E-06,3.68E-06,3.86E-06
1.118164,3.45E-06,3.45E-06,3.48E-06,3.58E-06,3.74E-06,3.93E-06
1.123047,3.48E-06,3.5E-06,3.53E-06,3.64E-06,3.8E-06,4E-06
1.12793,3.52E-06,3.55E-06,3.59E-06,3.7E-06,3.87E-06,4.07E-06
1.132813,3.57E-06,3.61E-06,3.64E-06,3.76E-06,3.94E-06,4.14E-06
1.137695,3.61E-06,3.66E-06,3.71E-06,3.83E-06,4.01E-06,4.22E-06
1.142578,3.66E-06,3.72E-06,3.77E-06,3.9E-06,4.08E-06,4.31E-06
1.147461,3.71E-06,3.79E-06,3.83E-06,3.97E-06,4.17E-06,4.39E-06
1.152344,3.77E-06,3.85E-06,3.9E-06,4.05E-06,4.25E-06,4.49E-06
1.157227,3.82E-06,3.92E-06,3.98E-06,4.13E-06,4.34E-06,4.58E-06
1.162109,3.88E-06,3.99E-06,4.05E-06,4.21E-06,4.43E-06,4.68E-06
1.166992,3.95E-06,4.07E-06,4.13E-06,4.3E-06,4.52E-06,4.79E-06
1.171875,4.02E-06,4.14E-06,4.21E-06,4.39E-06,4.62E-06,4.9E-06
1.176758,4.09E-06,4.23E-06,4.3E-06,4.48E-06,4.73E-06,5.01E-06
1.181641,4.16E-06,4.31E-06,4.38E-06,4.58E-06,4.83E-06,5.12E-06
1.186523,4.23E-06,4.4E-06,4.48E-06,4.68E-06,4.95E-06,5.24E-06
